roi_id,source_image,final_species,final_genus,label_source,label_confidence,confidence_tier,top1_confidence
roi_0044,DSCF1563-2.JPG,Trachelospermum sp. (uncertain),Trachelospermum,local_uncertain,low,TIER_3_MODERATE,0.4844
roi_0045,DSCF1563-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,high,TIER_2_GOOD,0.6191
roi_0046,DSCF1563-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.523
roi_0047,DSCF1563-2.JPG,Daphne cneorum L.,Daphne,good_confidence_local,high,TIER_2_GOOD,0.6141
roi_0050,DSCF1564-2.JPG,Calycanthus sp. (uncertain),Calycanthus,local_uncertain,low,TIER_3_MODERATE,0.539
roi_0051,DSCF1564-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.3281
roi_0054,DSCF1564-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.2172
roi_0055,DSCF1571-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.4479
roi_0056,DSCF1571-2.JPG,Neotinea sp. (uncertain),Neotinea,local_uncertain,low,TIER_3_MODERATE,0.5826
roi_0057,DSCF1571-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3812
roi_0058,DSCF1573-2.JPG,Cobaea scandens Cav.,Cobaea,high_confidence_local,high,TIER_1_HIGH,0.8282
roi_0059,DSCF1573-2.JPG,Calycanthus floridus L.,Calycanthus,high_confidence_local,high,TIER_1_HIGH,0.9039
roi_0060,DSCF1573-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.4801
roi_0061,DSCF1573-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_5_UNRELIABLE,0.1642
roi_0062,DSCF1573-2.JPG,Trifolium pratense L.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.8804
roi_0063,DSCF1575-2.JPG,Pereskia sp. (uncertain),Pereskia,local_uncertain,low,TIER_5_UNRELIABLE,0.102
roi_0064,DSCF1575-2.JPG,Cobaea scandens Cav.,Cobaea,good_confidence_local,high,TIER_2_GOOD,0.6826
roi_0065,DSCF1575-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_5_UNRELIABLE,0.0896
roi_0066,DSCF1575-2.JPG,Neotinea sp. (uncertain),Neotinea,local_uncertain,low,TIER_4_LOW,0.2343
roi_0067,DSCF1575-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2741
roi_0068,DSCF1575-2.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,high_confidence_local,high,TIER_1_HIGH,0.9166
roi_0069,DSCF1575-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.2904
roi_0073,DSCF8139-2.JPG,Garrya elliptica Douglas ex Lindl.,Garrya,good_confidence_local,high,TIER_2_GOOD,0.6335
roi_0074,DSCF8139-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_5_UNRELIABLE,0.1993
roi_0077,DSCF8141-2.JPG,Centranthus sp. (uncertain),Centranthus,local_uncertain,low,TIER_3_MODERATE,0.4535
roi_0079,DSCF8141-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_3_MODERATE,0.4082
roi_0080,DSCF8141-2.JPG,Daphne laureola L.,Daphne,good_confidence_local,high,TIER_2_GOOD,0.7967
roi_0084,DSCF8145-2.JPG,Hyoscyamus albus L.,Hyoscyamus,high_confidence_local,high,TIER_1_HIGH,0.8045
roi_0093,DSCF8151-2.JPG,Centranthus sp. (uncertain),Centranthus,local_uncertain,low,TIER_3_MODERATE,0.4416
roi_0098,DSCF8154-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.288
roi_0105,DSCF8155-2.JPG,Daucus sp. (uncertain),Daucus,local_uncertain,low,TIER_3_MODERATE,0.4179
roi_0111,DSCF8157-2.JPG,Lapsana sp. (uncertain),Lapsana,local_uncertain,low,TIER_5_UNRELIABLE,0.1718
roi_0113,DSCF8158-2.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_3_MODERATE,0.5352
roi_0114,DSCF8158-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_5_UNRELIABLE,0.0857
roi_0119,DSCF8161-2.JPG,Schefflera sp. (uncertain),Schefflera,local_uncertain,low,TIER_4_LOW,0.3912
roi_0120,DSCF8161-2.JPG,Moehringia sp. (uncertain),Moehringia,local_uncertain,low,TIER_4_LOW,0.2301
roi_0123,DSCF8163-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_3_MODERATE,0.4533
roi_0128,DSC_0036.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_3_MODERATE,0.4185
roi_0130,DSC_5562[.jpg,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_5_UNRELIABLE,0.1847
roi_0131,DSC_5566.JPG,Lavandula sp. (uncertain),Lavandula,local_uncertain,low,TIER_4_LOW,0.2949
roi_0132,DSC_5566.JPG,Cucurbita sp. (uncertain),Cucurbita,local_uncertain,low,TIER_4_LOW,0.3067
roi_0133,DSC_5566.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_3_MODERATE,0.418
roi_0134,DSC_5566.JPG,Dalbergia melanoxylon Guill. & Perr.,Dalbergia,good_confidence_local,high,TIER_2_GOOD,0.771
roi_0135,DSC_5566.JPG,Lactuca sp. (uncertain),Lactuca,local_uncertain,low,TIER_5_UNRELIABLE,0.1445
roi_0136,DSC_5575.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_3_MODERATE,0.5819
roi_0137,DSC_5575.JPG,Elodea sp. (uncertain),Elodea,local_uncertain,low,TIER_4_LOW,0.3375
roi_0138,DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia,high_confidence_local,high,TIER_1_HIGH,0.8348
roi_0139,DSC_5575.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.2286
roi_0140,DSC_5575.JPG,Mercurialis sp. (uncertain),Mercurialis,local_uncertain,low,TIER_4_LOW,0.2162
roi_0141,DSC_5677.JPG,Kniphofia sp. (uncertain),Kniphofia,local_uncertain,low,TIER_3_GENUS_OK,0.5428
roi_0143,DSC_5680.JPG,Humulus lupulus L.,Humulus,good_confidence_local,high,TIER_2_GOOD,0.7473
roi_0144,DSC_5681.JPG,Hypericum sp. (uncertain),Hypericum,local_uncertain,low,TIER_4_LOW,0.3581
roi_0145,DSC_5681.JPG,Dryas octopetala L.,Dryas,good_confidence_local,high,TIER_2_GOOD,0.6958
roi_0146,DSC_5681.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_4_LOW,0.3392
roi_0152,DSC_5683.JPG,Pelargonium inquinans (L.) Aiton,Pelargonium,good_confidence_local,high,TIER_2_GOOD,0.6521
roi_0154,DSC_5687.JPG,Holodiscus sp. (uncertain),Holodiscus,local_uncertain,low,TIER_5_UNRELIABLE,0.1857
roi_0155,DSC_5687.JPG,Pyracantha sp. (uncertain),Pyracantha,local_uncertain,low,TIER_3_MODERATE,0.5729
roi_0157,DSC_5690.JPG,Humulus lupulus L.,Humulus,good_confidence_local,high,TIER_2_GOOD,0.7917
roi_0158,DSC_5691.JPG,Acacia saligna (Labill.) H.L.Wendl.,Acacia,good_confidence_local,high,TIER_2_GOOD,0.7267
roi_0159,DSC_5691.JPG,Limbarda sp. (uncertain),Limbarda,local_uncertain,low,TIER_4_LOW,0.2486
roi_0160,DSC_5691.JPG,Nothofagus sp. (uncertain),Nothofagus,local_uncertain,low,TIER_3_MODERATE,0.4038
roi_0161,DSC_5692.JPG,Limbarda sp. (uncertain),Limbarda,local_uncertain,low,TIER_4_LOW,0.3982
roi_0162,DSC_5692.JPG,Metasequoia sp. (uncertain),Metasequoia,local_uncertain,low,TIER_4_LOW,0.303
roi_0163,DSC_5692.JPG,Cenchrus sp. (uncertain),Cenchrus,local_uncertain,low,TIER_3_MODERATE,0.5123
roi_0164,DSC_5698.JPG,Lactuca alpina (L.) Benth. & Hook.f.,Lactuca,high_confidence_local,high,TIER_1_HIGH,0.8586
roi_0165,DSC_5701.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2046
roi_0166,DSC_5703.JPG,Sedum caeruleum L.,Sedum,good_confidence_local,high,TIER_2_GOOD,0.7576
roi_0167,DSC_5710.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.3687
roi_0168,DSC_5710.JPG,Nothofagus sp. (uncertain),Nothofagus,local_uncertain,low,TIER_5_UNRELIABLE,0.1876
roi_0169,DSC_5710.JPG,Nothofagus sp. (uncertain),Nothofagus,local_uncertain,low,TIER_4_LOW,0.2221
roi_0170,DSC_5710.JPG,Metasequoia sp. (uncertain),Metasequoia,local_uncertain,low,TIER_3_MODERATE,0.5608
roi_0171,DSC_5710.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_3_GENUS_OK,0.4775
roi_0172,DSC_5770.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_3_MODERATE,0.4287
roi_0173,DSC_5770.JPG,Sedum acre L.,Sedum,high_confidence_local,high,TIER_1_HIGH,0.8353
roi_0176,DSC_5779.JPG,Meum athamanticum Jacq.,Meum,good_confidence_local,high,TIER_2_GOOD,0.7284
roi_0178,DSC_5779.JPG,Meum sp. (uncertain),Meum,local_uncertain,low,TIER_3_MODERATE,0.5922
roi_0179,DSC_578325151.JPG,Pyracantha sp. (uncertain),Pyracantha,local_uncertain,low,TIER_4_LOW,0.2901
roi_0180,DSC_5783sds.JPG,Acacia dealbata Link,Acacia,good_confidence_local,high,TIER_2_GOOD,0.73
roi_0181,DSC_5783sds.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_3_GENUS_OK,0.4064
roi_0182,DSC_839222.JPG,Lavandula sp. (uncertain),Lavandula,local_uncertain,low,TIER_4_LOW,0.3389
roi_0183,DSC_8392666.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.3603
roi_0184,DSC_8394124.JPG,Acacia dealbata Link,Acacia,high_confidence_local,high,TIER_1_HIGH,0.9855
roi_0185,DSC_8394124.JPG,Acacia dealbata Link,Acacia,good_confidence_local,high,TIER_2_GOOD,0.6146
roi_0186,DSC_8394124.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_5_UNRELIABLE,0.191
roi_0187,DSC_8400.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.4838
roi_0188,DSC_8400.JPG,Anemone hepatica L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9866
roi_0189,DSC_8404.JPG,Myosoton aquaticum (L.) Moench,Myosoton,good_confidence_local,high,TIER_2_GOOD,0.7282
roi_0191,DSC_8404.JPG,Phalaris sp. (uncertain),Phalaris,local_uncertain,low,TIER_4_LOW,0.2919
roi_0194,DSC_8407.JPG,Daucus sp. (uncertain),Daucus,local_uncertain,low,TIER_3_MODERATE,0.5585
roi_0195,DSC_8407.JPG,Nymphoides peltata (S.G.Gmel.) Kuntze,Nymphoides,high_confidence_local,high,TIER_1_HIGH,0.9095
roi_0197,DSC_8408.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.2826
roi_0198,DSC_8408.JPG,Lavandula stoechas L.,Lavandula,good_confidence_local,high,TIER_2_GOOD,0.7748
roi_0204,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9253
roi_0205,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.994
roi_0206,DSC_8626.JPG,Lavandula sp. (uncertain),Lavandula,local_uncertain,low,TIER_4_LOW,0.309
roi_0207,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.6184
roi_0208,DSC_8626.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_4_LOW,0.3684
roi_0210,DSC_8628.JPG,Anemone alpina L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9389
roi_0211,DSC_8630.JPG,Phyllanthus sp. (uncertain),Phyllanthus,local_uncertain,low,TIER_5_UNRELIABLE,0.0713
roi_0212,DSC_8630.JPG,Smilax sp. (uncertain),Smilax,local_uncertain,low,TIER_4_LOW,0.3188
roi_0213,DSC_8630.JPG,Anemone alpina L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.994
roi_0214,DSC_8634.JPG,Anemone alpina L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9073
roi_0215,DSC_8635.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_5_UNRELIABLE,0.1376
roi_0216,DSC_8635.JPG,Anemone alpina L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.888
roi_0217,DSC_8636.JPG,Anemone vernalis L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.6462
roi_0218,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.799
roi_0219,DSC_8636.JPG,Papaver alpinum L.,Papaver,high_confidence_local,high,TIER_1_HIGH,0.8898
roi_0220,DSC_8636.JPG,Trifolium montanum L.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.9311
roi_0221,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.8657
roi_0222,DSC_8636.JPG,Papaver alpinum L.,Papaver,high_confidence_local,high,TIER_1_HIGH,0.9263
roi_0223,DSC_8636.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.5274
roi_0224,DSC_8636.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.4244
roi_0225,DSC_8636.JPG,Lamium purpureum L.,Lamium,high_confidence_local,high,TIER_1_HIGH,0.9495
roi_0226,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.6044
roi_0227,DSC_8637.JPG,Papaver alpinum L.,Papaver,good_confidence_local,high,TIER_2_GOOD,0.723
roi_0228,DSC_8637.JPG,Papaver sp. (uncertain),Papaver,local_uncertain,low,TIER_4_LOW,0.3467
roi_0229,DSC_8637.JPG,Papaver alpinum L.,Papaver,high_confidence_local,high,TIER_1_HIGH,0.8218
roi_0230,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.7864
roi_0231,DSC_8637.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_4_LOW,0.2948
roi_0232,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.6832
roi_0233,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.7467
roi_0235,DSC_8638.JPG,Papaver sp. (uncertain),Papaver,local_uncertain,low,TIER_3_GENUS_OK,0.484
roi_0236,DSC_8638.JPG,Tradescantia sp. (uncertain),Tradescantia,local_uncertain,low,TIER_3_GENUS_OK,0.5743
roi_0237,DSC_8638.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.4266
roi_0238,DSC_8638.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,good_confidence_local,high,TIER_2_GOOD,0.6817
roi_0239,DSC_8638.JPG,Tradescantia sp. (uncertain),Tradescantia,local_uncertain,low,TIER_4_LOW,0.3303
roi_0240,DSC_8638.JPG,Cirsium sp. (uncertain),Cirsium,local_uncertain,low,TIER_5_UNRELIABLE,0.1257
roi_0242,DSC_8638.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9376
roi_0244,DSC_8639.JPG,Sedum acre L.,Sedum,good_confidence_local,high,TIER_2_GOOD,0.7257
roi_0245,DSC_8639.JPG,Trifolium campestre Schreb.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.9448
roi_0248,DSC_8639.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_4_LOW,0.3194
roi_0249,DSC_8639.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.917
roi_0250,DSC_8639.JPG,Papaver sp. (uncertain),Papaver,local_uncertain,low,TIER_5_UNRELIABLE,0.1211
roi_0251,DSC_8639.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.8473
roi_0252,DSC_8639.JPG,Lamium amplexicaule L.,Lamium,high_confidence_local,high,TIER_1_HIGH,0.9915
roi_0253,DSC_8641.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_3_MODERATE,0.5201
roi_0254,DSC_8642.JPG,Lagenaria sp. (uncertain),Lagenaria,local_uncertain,low,TIER_3_MODERATE,0.456
roi_0255,DSC_8642.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_4_LOW,0.3969
roi_0256,DSC_8642.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_4_LOW,0.339
roi_0257,DSC_8642.JPG,Fragaria sp. (uncertain),Fragaria,local_uncertain,low,TIER_4_LOW,0.3949
roi_0258,DSC_8643.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3099
roi_0259,DSC_8644.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,good_confidence_local,high,TIER_2_GOOD,0.7814
roi_0262,DSC_8644.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.4427
roi_0263,DSC_8645.JPG,Trachelospermum sp. (uncertain),Trachelospermum,local_uncertain,low,TIER_3_MODERATE,0.4064
roi_0264,DSC_8645.JPG,Galega sp. (uncertain),Galega,local_uncertain,low,TIER_3_MODERATE,0.4922
roi_0265,DSC_8645.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.5997
roi_0267,DSC_8646.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_4_LOW,0.354
roi_0268,DSC_8646.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.4492
roi_0269,DSC_8646.JPG,Anemone halleri All.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.7768
roi_0271,DSC_8647.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.4665
roi_0275,DSC_8648.JPG,Acacia dealbata Link,Acacia,good_confidence_local,high,TIER_2_GOOD,0.6797
roi_0277,DSC_8650.JPG,Daucus sp. (uncertain),Daucus,local_uncertain,low,TIER_3_MODERATE,0.5107
roi_0278,DSC_8650.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.5975
roi_0279,DSC_8650.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_3_MODERATE,0.532
roi_0280,DSC_8650.JPG,Lupinus sp. (uncertain),Lupinus,local_uncertain,low,TIER_4_LOW,0.2315
roi_0281,DSC_8650.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_4_LOW,0.3902
roi_0283,DSC_8651.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_4_LOW,0.3069
roi_0285,DSC_8651.JPG,Hyoscyamus albus L.,Hyoscyamus,good_confidence_local,high,TIER_2_GOOD,0.656
roi_0286,DSC_8651.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_5_UNRELIABLE,0.1587
roi_0288,DSC_8651.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.4035
roi_0289,DSC_8652.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.5299
roi_0290,DSC_8652.JPG,Trachelospermum sp. (uncertain),Trachelospermum,local_uncertain,low,TIER_4_LOW,0.2493
roi_0291,DSC_8652.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_3_MODERATE,0.5471
roi_0292,DSC_8652.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_3_MODERATE,0.5136
roi_0293,DSC_8652.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_5_UNRELIABLE,0.0293
roi_0294,DSC_8654.JPG,Ophrys sp. (uncertain),Ophrys,local_uncertain,low,TIER_5_UNRELIABLE,0.0864
roi_0295,DSC_8654.JPG,Trachelospermum sp. (uncertain),Trachelospermum,local_uncertain,low,TIER_3_MODERATE,0.4086
roi_0296,DSC_8654.JPG,Daucus sp. (uncertain),Daucus,local_uncertain,low,TIER_5_UNRELIABLE,0.1115
roi_0297,DSC_8654.JPG,Lamium galeobdolon (L.) L.,Lamium,good_confidence_local,high,TIER_2_GOOD,0.7105
roi_0298,DSC_8654.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_4_LOW,0.2538
roi_0300,DSC_8654.JPG,Lamium galeobdolon (L.) L.,Lamium,good_confidence_local,high,TIER_2_GOOD,0.7307
roi_0301,DSC_8654.JPG,Hyoscyamus albus L.,Hyoscyamus,high_confidence_local,high,TIER_1_HIGH,0.8303
roi_0303,DSC_8657.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.751
roi_0304,DSC_8658.JPG,Daucus sp. (uncertain),Daucus,local_uncertain,low,TIER_4_LOW,0.2866
roi_0305,DSC_8658.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.8194
roi_0306,DSC_8661.JPG,Lavandula angustifolia Mill.,Lavandula,high_confidence_local,high,TIER_1_HIGH,0.8739
roi_0307,DSC_8661.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2204
roi_0308,DSC_8661.JPG,Dalea purpurea Vent.,Dalea,good_confidence_local,high,TIER_2_GOOD,0.6741
roi_0309,DSC_8661.JPG,Lavandula angustifolia Mill.,Lavandula,high_confidence_local,high,TIER_1_HIGH,0.9675
roi_0310,DSC_8661.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_5_UNRELIABLE,0.1026
roi_0311,DSC_8661.JPG,Dalea sp. (uncertain),Dalea,local_uncertain,low,TIER_4_LOW,0.2008
roi_0312,DSC_8711.JPG,Trifolium dubium Sibth.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.9563
roi_0313,DSC_8711.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_4_LOW,0.2207
roi_0314,DSC_8747.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_MODERATE,0.5439
roi_0315,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.9896
roi_0316,DSC_8747.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.432
roi_0317,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,good_confidence_local,high,TIER_2_GOOD,0.646
roi_0318,DSC_8907.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_5_UNRELIABLE,0.1339
roi_0319,DSC_8908.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_4_LOW,0.2421
roi_0320,DSC_8908.JPG,Daphne mezereum L.,Daphne,good_confidence_local,high,TIER_2_GOOD,0.6738
roi_0321,DSC_8908.JPG,Pyracantha sp. (uncertain),Pyracantha,local_uncertain,low,TIER_3_MODERATE,0.421
roi_0322,DSC_8908.JPG,Barbarea vulgaris R.Br.,Barbarea,high_confidence_local,high,TIER_1_HIGH,0.8989
roi_0323,DSC_8908.JPG,Barbarea verna (Mill.) Asch.,Barbarea,good_confidence_local,high,TIER_2_GOOD,0.6804
