roi_id,source_image,validated_species,validated_genus,validation_method,validation_strength,include_in_metrics
roi_0172,DSC_5770.JPG,Sedum acre L.,Sedum,unvalidated,weak,False
roi_0173,DSC_5770.JPG,Sedum acre L.,Sedum,high_confidence_local,strong,True
roi_0176,DSC_5779.JPG,Meum athamanticum Jacq.,Meum,good_confidence_local,strong,True
roi_0178,DSC_5779.JPG,Meum athamanticum Jacq.,Meum,unvalidated,weak,False
roi_0179,DSC_578325151.JPG,Pyracantha coccinea M.Roem.,Pyracantha,unvalidated,weak,False
roi_0180,DSC_5783sds.JPG,Acacia dealbata Link,Acacia,good_confidence_local,strong,True
roi_0181,DSC_5783sds.JPG,Sedum rupestre L.,Sedum,moderate_with_genus_agreement,moderate,True
roi_0182,DSC_839222.JPG,Lavandula angustifolia Mill.,Lavandula,unvalidated,weak,False
roi_0183,DSC_8392666.JPG,Trifolium campestre Schreb.,Trifolium,unvalidated,weak,False
roi_0184,DSC_8394124.JPG,Acacia dealbata Link,Acacia,high_confidence_local,strong,True
roi_0185,DSC_8394124.JPG,Acacia dealbata Link,Acacia,good_confidence_local,strong,True
roi_0186,DSC_8394124.JPG,Sedum acre L.,Sedum,unvalidated,weak,False
roi_0187,DSC_8400.JPG,Anemone hepatica L.,Anemone,unvalidated,weak,False
roi_0188,DSC_8400.JPG,Anemone hepatica L.,Anemone,high_confidence_local,strong,True
roi_0189,DSC_8404.JPG,Myosoton aquaticum (L.) Moench,Myosoton,good_confidence_local,strong,True
roi_0191,DSC_8404.JPG,Phalaris minor Retz.,Phalaris,unvalidated,weak,False
roi_0194,DSC_8407.JPG,Daucus carota L.,Daucus,unvalidated,weak,False
roi_0195,DSC_8407.JPG,Nymphoides peltata (S.G.Gmel.) Kuntze,Nymphoides,high_confidence_local,strong,True
roi_0197,DSC_8408.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0198,DSC_8408.JPG,Lavandula stoechas L.,Lavandula,good_confidence_local,strong,True
roi_0204,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0205,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0206,DSC_8626.JPG,Lavandula angustifolia Mill.,Lavandula,unvalidated,weak,False
roi_0207,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0208,DSC_8626.JPG,Anemone pulsatilla L.,Anemone,unvalidated,weak,False
roi_0210,DSC_8628.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0211,DSC_8630.JPG,Phyllanthus phillyreifolius Poir.,Phyllanthus,unvalidated,weak,False
roi_0212,DSC_8630.JPG,Smilax aspera L.,Smilax,unvalidated,weak,False
roi_0213,DSC_8630.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0214,DSC_8634.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0215,DSC_8635.JPG,Anemone alpina L.,Anemone,unvalidated,weak,False
roi_0216,DSC_8635.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0217,DSC_8636.JPG,Anemone vernalis L.,Anemone,good_confidence_local,strong,True
roi_0218,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0219,DSC_8636.JPG,Papaver alpinum L.,Papaver,high_confidence_local,strong,True
roi_0220,DSC_8636.JPG,Trifolium montanum L.,Trifolium,high_confidence_local,strong,True
roi_0221,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0222,DSC_8636.JPG,Papaver alpinum L.,Papaver,high_confidence_local,strong,True
roi_0223,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0224,DSC_8636.JPG,Anemone pulsatilla L.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0225,DSC_8636.JPG,Lamium purpureum L.,Lamium,high_confidence_local,strong,True
roi_0226,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0227,DSC_8637.JPG,Papaver alpinum L.,Papaver,good_confidence_local,strong,True
roi_0228,DSC_8637.JPG,Papaver alpinum L.,Papaver,unvalidated,weak,False
roi_0229,DSC_8637.JPG,Papaver alpinum L.,Papaver,high_confidence_local,strong,True
roi_0230,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0231,DSC_8637.JPG,Lamium purpureum L.,Lamium,unvalidated,weak,False
roi_0232,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0233,DSC_8637.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0235,DSC_8638.JPG,Papaver alpinum L.,Papaver,moderate_with_genus_agreement,moderate,True
roi_0236,DSC_8638.JPG,Tradescantia pallida (Rose) D.R.Hunt,Tradescantia,moderate_with_genus_agreement,moderate,True
roi_0237,DSC_8638.JPG,Anemone vernalis L.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0238,DSC_8638.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,good_confidence_local,strong,True
roi_0239,DSC_8638.JPG,Tradescantia zebrina Bosse,Tradescantia,unvalidated,weak,False
roi_0240,DSC_8638.JPG,Cirsium vulgare (Savi) Ten.,Cirsium,unvalidated,weak,False
roi_0242,DSC_8638.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0244,DSC_8639.JPG,Sedum acre L.,Sedum,good_confidence_local,strong,True
roi_0245,DSC_8639.JPG,Trifolium campestre Schreb.,Trifolium,high_confidence_local,strong,True
roi_0248,DSC_8639.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,unvalidated,weak,False
roi_0249,DSC_8639.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0250,DSC_8639.JPG,Papaver somniferum L.,Papaver,unvalidated,weak,False
roi_0251,DSC_8639.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0252,DSC_8639.JPG,Lamium amplexicaule L.,Lamium,high_confidence_local,strong,True
roi_0253,DSC_8641.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,unvalidated,weak,False
roi_0254,DSC_8642.JPG,Lagenaria siceraria (Molina) Standl.,Lagenaria,unvalidated,weak,False
roi_0255,DSC_8642.JPG,Sedum dasyphyllum L.,Sedum,unvalidated,weak,False
roi_0256,DSC_8642.JPG,Sedum dasyphyllum L.,Sedum,unvalidated,weak,False
roi_0257,DSC_8642.JPG,Fragaria vesca L.,Fragaria,unvalidated,weak,False
roi_0258,DSC_8643.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0259,DSC_8644.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,good_confidence_local,strong,True
roi_0262,DSC_8644.JPG,Anemone halleri All.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0263,DSC_8645.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,unvalidated,weak,False
roi_0264,DSC_8645.JPG,Galega officinalis L.,Galega,unvalidated,weak,False
roi_0265,DSC_8645.JPG,Anemone halleri All.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0267,DSC_8646.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,unvalidated,weak,False
roi_0268,DSC_8646.JPG,Anemone hepatica L.,Anemone,unvalidated,weak,False
roi_0269,DSC_8646.JPG,Anemone halleri All.,Anemone,good_confidence_local,strong,True
roi_0271,DSC_8647.JPG,Anemone pulsatilla L.,Anemone,unvalidated,weak,False
roi_0275,DSC_8648.JPG,Acacia dealbata Link,Acacia,good_confidence_local,strong,True
roi_0277,DSC_8650.JPG,Daucus carota L.,Daucus,unvalidated,weak,False
roi_0278,DSC_8650.JPG,Anemone vernalis L.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0279,DSC_8650.JPG,Lamium galeobdolon (L.) L.,Lamium,unvalidated,weak,False
roi_0280,DSC_8650.JPG,Lupinus arboreus Sims,Lupinus,unvalidated,weak,False
roi_0281,DSC_8650.JPG,Hyoscyamus albus L.,Hyoscyamus,unvalidated,weak,False
roi_0283,DSC_8651.JPG,Anemone vernalis L.,Anemone,unvalidated,weak,False
roi_0285,DSC_8651.JPG,Hyoscyamus albus L.,Hyoscyamus,good_confidence_local,strong,True
roi_0286,DSC_8651.JPG,Trifolium dubium Sibth.,Trifolium,unvalidated,weak,False
roi_0288,DSC_8651.JPG,Anemone alpina L.,Anemone,unvalidated,weak,False
roi_0289,DSC_8652.JPG,Anemone alpina L.,Anemone,unvalidated,weak,False
roi_0290,DSC_8652.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,unvalidated,weak,False
roi_0291,DSC_8652.JPG,Lamium galeobdolon (L.) L.,Lamium,unvalidated,weak,False
roi_0292,DSC_8652.JPG,Lamium galeobdolon (L.) L.,Lamium,unvalidated,weak,False
roi_0293,DSC_8652.JPG,Trifolium repens L.,Trifolium,unvalidated,weak,False
roi_0294,DSC_8654.JPG,Ophrys fusca Link,Ophrys,unvalidated,weak,False
roi_0295,DSC_8654.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,unvalidated,weak,False
roi_0296,DSC_8654.JPG,Daucus carota L.,Daucus,unvalidated,weak,False
roi_0297,DSC_8654.JPG,Lamium galeobdolon (L.) L.,Lamium,good_confidence_local,strong,True
roi_0298,DSC_8654.JPG,Hyoscyamus albus L.,Hyoscyamus,unvalidated,weak,False
roi_0300,DSC_8654.JPG,Lamium galeobdolon (L.) L.,Lamium,good_confidence_local,strong,True
roi_0301,DSC_8654.JPG,Hyoscyamus albus L.,Hyoscyamus,high_confidence_local,strong,True
roi_0303,DSC_8657.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0304,DSC_8658.JPG,Daucus carota L.,Daucus,unvalidated,weak,False
roi_0305,DSC_8658.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0306,DSC_8661.JPG,Lavandula angustifolia Mill.,Lavandula,high_confidence_local,strong,True
roi_0307,DSC_8661.JPG,Trifolium badium Schreb.,Trifolium,unvalidated,weak,False
roi_0308,DSC_8661.JPG,Dalea purpurea Vent.,Dalea,good_confidence_local,strong,True
roi_0309,DSC_8661.JPG,Lavandula angustifolia Mill.,Lavandula,high_confidence_local,strong,True
roi_0310,DSC_8661.JPG,Lamium amplexicaule L.,Lamium,unvalidated,weak,False
roi_0311,DSC_8661.JPG,Dalea purpurea Vent.,Dalea,unvalidated,weak,False
roi_0312,DSC_8711.JPG,Trifolium dubium Sibth.,Trifolium,high_confidence_local,strong,True
roi_0313,DSC_8711.JPG,Sedum acre L.,Sedum,unvalidated,weak,False
roi_0314,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,unvalidated,weak,False
roi_0315,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,high_confidence_local,strong,True
roi_0316,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0317,DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium,good_confidence_local,strong,True
roi_0318,DSC_8907.JPG,Pelargonium graveolens L'Hér.,Pelargonium,unvalidated,weak,False
roi_0319,DSC_8908.JPG,Pelargonium inquinans (L.) Aiton,Pelargonium,unvalidated,weak,False
roi_0320,DSC_8908.JPG,Daphne mezereum L.,Daphne,good_confidence_local,strong,True
roi_0321,DSC_8908.JPG,Pyracantha coccinea M.Roem.,Pyracantha,unvalidated,weak,False
roi_0322,DSC_8908.JPG,Barbarea vulgaris R.Br.,Barbarea,high_confidence_local,strong,True
roi_0323,DSC_8908.JPG,Barbarea verna (Mill.) Asch.,Barbarea,good_confidence_local,strong,True
roi_0324,DSC_8908.JPG,Smilax aspera L.,Smilax,unvalidated,weak,False
roi_0325,DSC_8909.JPG,Sedum acre L.,Sedum,good_confidence_local,strong,True
roi_0326,DSC_8909.JPG,Hippophae rhamnoides L.,Hippophae,unvalidated,weak,False
roi_0327,DSC_8909.JPG,Sedum acre L.,Sedum,good_confidence_local,strong,True
roi_0328,DSC_8910.JPG,Sedum acre L.,Sedum,moderate_with_genus_agreement,moderate,True
roi_0329,DSC_8910.JPG,Holodiscus discolor (Pursh) Maxim.,Holodiscus,unvalidated,weak,False
roi_0330,DSC_8915.JPG,Lactuca muralis (L.) Gaertn.,Lactuca,unvalidated,weak,False
roi_0332,DSC_8916.JPG,Tradescantia cerinthoides Kunth,Tradescantia,unvalidated,weak,False
roi_0333,DSC_8916.JPG,Daphne gnidium L.,Daphne,good_confidence_local,strong,True
roi_0334,DSC_8916.JPG,Trifolium campestre Schreb.,Trifolium,high_confidence_local,strong,True
roi_0335,DSC_8916.JPG,Melilotus spicatus (Sm.) Breistr.,Melilotus,unvalidated,weak,False
roi_0336,DSC_8917.JPG,Daphne gnidium L.,Daphne,unvalidated,weak,False
roi_0337,DSC_8917.JPG,Tradescantia cerinthoides Kunth,Tradescantia,unvalidated,weak,False
roi_0340,DSC_8918.JPG,"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,unvalidated,weak,False
roi_0341,DSC_8918.JPG,Tradescantia cerinthoides Kunth,Tradescantia,unvalidated,weak,False
roi_0342,DSC_8918.JPG,"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,unvalidated,weak,False
roi_0343,DSC_8920.JPG,Melilotus albus Medik.,Melilotus,good_confidence_local,strong,True
roi_0353,DSC_8924.JPG,Punica granatum L.,Punica,unvalidated,weak,False
roi_0354,DSC_8924.JPG,Anthericum ramosum L.,Anthericum,unvalidated,weak,False
roi_0355,DSC_8926.JPG,Fragaria vesca L.,Fragaria,unvalidated,weak,False
roi_0356,DSC_8926.JPG,Eritrichium nanum (L.) Schrad. ex Gaudin,Eritrichium,good_confidence_local,strong,True
roi_0357,DSC_8926.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria,good_confidence_local,strong,True
roi_0358,DSC_8926.JPG,Barbarea vulgaris R.Br.,Barbarea,unvalidated,weak,False
roi_0359,DSC_8926.JPG,Trifolium dubium Sibth.,Trifolium,unvalidated,weak,False
roi_0360,DSC_8926.JPG,Hypericum perforatum L.,Hypericum,unvalidated,weak,False
roi_0361,DSC_8927.JPG,Fragaria vesca L.,Fragaria,unvalidated,weak,False
roi_0362,DSC_8927.JPG,Lamium galeobdolon (L.) L.,Lamium,unvalidated,weak,False
roi_0363,DSC_8927.JPG,Lithodora fruticosa (L.) Griseb.,Lithodora,unvalidated,weak,False
roi_0364,DSC_8927.JPG,Hackelia velutina (Piper) I.M. Johnst.,Hackelia,unvalidated,weak,False
roi_0366,DSC_8928.JPG,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria,unvalidated,weak,False
roi_0369,DSC_8929.JPG,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria,unvalidated,weak,False
roi_0370,DSC_8929.JPG,Honckenya peploides (L.) Ehrh.,Honckenya,unvalidated,weak,False
roi_0372,DSC_8929.JPG,Trifolium campestre Schreb.,Trifolium,unvalidated,weak,False
roi_0373,DSC_8930.JPG,Trifolium alpinum L.,Trifolium,unvalidated,weak,False
roi_0377,DSC_8931.JPG,Sagittaria sagittifolia L.,Sagittaria,unvalidated,weak,False
roi_0378,DSC_8931.JPG,Daphne laureola L.,Daphne,unvalidated,weak,False
roi_0380,DSC_8931.JPG,Hypericum elodes L.,Hypericum,unvalidated,weak,False
roi_0381,DSC_8931.JPG,Lavandula latifolia Medik.,Lavandula,unvalidated,weak,False
roi_0382,DSC_8931.JPG,Hypericum lanceolatum Lam.,Hypericum,unvalidated,weak,False
roi_0384,DSC_8931.JPG,Limbarda crithmoides (L.) Dumort.,Limbarda,high_confidence_local,strong,True
roi_0385,DSC_8931.JPG,Limbarda crithmoides (L.) Dumort.,Limbarda,high_confidence_local,strong,True
roi_0386,DSC_8932.JPG,Melilotus officinalis (L.) Lam.,Melilotus,unvalidated,weak,False
roi_0387,DSC_8932.JPG,Cenchrus setaceus (Forssk.) Morrone,Cenchrus,high_confidence_local,strong,True
roi_0388,DSC_8932.JPG,Trifolium campestre Schreb.,Trifolium,unvalidated,weak,False
roi_0389,DSC_8934.JPG,Daphne cneorum L.,Daphne,high_confidence_local,strong,True
roi_0390,DSC_8934.JPG,Daphne cneorum L.,Daphne,high_confidence_local,strong,True
roi_0391,DSC_8934.JPG,Centranthus ruber (L.) DC.,Centranthus,unvalidated,weak,False
roi_0392,DSC_8936.JPG,Daphne cneorum L.,Daphne,high_confidence_local,strong,True
roi_0393,DSC_8936.JPG,Barbarea verna (Mill.) Asch.,Barbarea,unvalidated,weak,False
roi_0394,DSC_8936.JPG,Anemone pulsatilla L.,Anemone,good_confidence_local,strong,True
roi_0395,DSC_8938.JPG,Daphne cneorum L.,Daphne,high_confidence_local,strong,True
roi_0396,DSC_8938.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0397,DSC_8938.JPG,Anemone pulsatilla L.,Anemone,high_confidence_local,strong,True
roi_0398,DSC_8940.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
