image,true_species,full_image_pred,full_image_conf,full_image_correct,roi_pred,roi_conf,roi_correct
DSC_8934.JPG,Daphne cneorum L.,Pelargonium inquinans (L.) Aiton,0.4316,False,Daphne cneorum L.,0.9984,True
DSC_8938.JPG,Anemone pulsatilla L.,Anemone rubra Lam.,0.159,False,Daphne cneorum L.,0.9013,False
DSC_8940.JPG,Punica granatum L.,Noccaea rotundifolia (L.) Moench,0.5375,False,Punica granatum L.,0.662,True
DSC_8943.JPG,Lavandula angustifolia Mill.,Sedum acre L.,0.2727,False,Barbarea vulgaris R.Br.,0.1312,False
DSC_8946.JPG,Lithodora fruticosa (L.) Griseb.,Anemone pulsatilla L.,0.3876,False,Lithodora fruticosa (L.) Griseb.,0.9454,True
DSC_8948.JPG,Barbarea vulgaris R.Br.,Cenchrus setaceus (Forssk.) Morrone,0.3967,False,Sedum album L.,0.1054,False
DSC_8958.JPG,Sedum acre L.,Thapsia villosa L.,0.4173,False,Sedum acre L.,0.6325,True
DSC_8972.JPG,Calendula officinalis L.,Calendula officinalis L.,0.4696,True,Calendula officinalis L.,0.6232,True
DSC_9468.JPG,Angelica archangelica L.,Angelica sylvestris L.,0.358,False,Angelica archangelica L.,0.6173,True
DSC_9652.JPG,Petiveria alliacea L.,Pereskia bleo (Kunth) DC.,0.2538,False,Petiveria alliacea L.,0.8964,True
E. heracleoides.JPG,Centranthus calcitrapae (L.) Dufr.,Trinia glauca (L.) Dumort.,0.358,False,Sedum album L.,0.4308,False
E. umbellatum var. stellatum-1.JPG,Clethra alnifolia L.,Angelica archangelica L.,0.3085,False,Daucus carota L.,0.2545,False
E. umbellatum var. stellatum[2].JPG,Pyracantha coccinea M.Roem.,Daucus carota L.,0.3102,False,Mercurialis annua L.,0.3476,False
E.umbellatum var. bahiiforme.JPG,Dryas octopetala L.,Barbarea vulgaris R.Br.,0.2878,False,Dryas octopetala L.,0.9758,True
P3240048.JPG,Lavandula stoechas L.,Anemone coronaria L.,0.5542,False,Alcea rosea L.,0.4223,False
P4240129-2.JPG,Lavandula stoechas L.,Anemone pulsatilla L.,0.5563,False,Cenchrus setaceus (Forssk.) Morrone,0.4828,False
P4240142-2.JPG,Myosoton aquaticum (L.) Moench,Myosoton aquaticum (L.) Moench,0.8639,True,Myosoton aquaticum (L.) Moench,0.8646,True
P4240172-2.JPG,Alcea rosea L.,Alcea rosea L.,0.6448,True,Alcea rosea L.,0.6392,True
P4260005-2.JPG,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,0.7457,True,Helminthotheca echioides (L.) Holub,0.7346,True
P4260017-2.JPG,Anemone hepatica L.,Anemone hepatica L.,0.9837,True,Anemone hepatica L.,0.6331,True
P4260046-2(S).JPG,Calendula officinalis L.,Calendula officinalis L.,0.6858,True,Calendula officinalis L.,0.7019,True
P4260067-2.JPG,Lactuca sativa L.,Pelargonium zonale (L.) L'Hér. ex Aiton,0.0711,False,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.4205,False
